time_sec,true_mass_kg,pred_mass_kg,true_cog_x_m,pred_cog_x_m,true_cog_y_m,pred_cog_y_m,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,physics_loss,data_loss,total_loss
18.20833333333262,7.585617991127665,7.544445111644803,-0.004777555390811416,-0.0024008587781686884,-0.010980546986604682,-0.005463202538520691,0.0,0.0,6.0,0.02655160294493085,-0.013784450305202032,5.984332330849483,0.06563795357942581,0.003997528925538063,0.4653908312320709
18.249999999999286,7.585617991127665,7.544814717945414,-0.004777555390811416,-0.0024153466866851637,-0.010980546986604682,-0.005472635837988992,0.0,0.0,6.0,0.026355696127792136,-0.013484444542307997,5.985371975501075,0.22430847585201263,0.0053818682208657265,0.7624952793121338
18.29166666666595,7.585617991127665,7.545360714458759,-0.004777555390811416,-0.0024282294742688504,-0.010980546986604682,-0.005480228069139959,0.0,0.0,6.0,0.026163450864219135,-0.013188642530744973,5.9864032327999475,0.7464841604232788,0.06129905954003334,6.876389980316162
18.333333333332615,7.585617991127665,7.5459350746008775,-0.004777555390811416,-0.0024316030451112867,-0.010980546986604682,-0.005484539863483219,0.0,0.0,6.0,0.02597462015567037,-0.012898106507535104,5.987425878836567,0.043563514947891235,0.005226091016083956,0.5661726593971252
18.37499999999928,7.585617991127665,7.546145861240005,-0.004777555390811416,-0.0024344666072385838,-0.010980546986604682,-0.005496634925334396,0.0,0.0,6.0,0.025788982819106725,-0.012613839298856493,5.98843969934275,0.04413517937064171,0.0001542996906209737,0.05956514924764633
18.416666666665943,7.585617991127665,7.545991924765049,-0.004777555390811416,-0.0024178373994663605,-0.010980546986604682,-0.005497673857822983,0.0,0.0,6.0,0.02560635471215709,-0.012336778383534065,5.989444484480566,0.6413630843162537,0.004446145612746477,1.085977554321289
18.458333333332607,7.585617991127665,7.545606511198973,-0.004777555390811416,-0.0024967814349883158,-0.010980546986604682,-0.005528390431260249,0.0,0.0,6.0,0.02542658767363943,-0.01206777782738336,5.990440040430672,0.8764086961746216,0.0005933895008638501,0.9357476234436035
18.49999999999927,7.585617991127665,7.545095842743349,-0.004777555390811416,-0.002413264451386979,-0.010980546986604682,-0.005513562997102364,0.0,0.0,6.0,0.025249542620614667,-0.011807609537313562,5.991426157093395,0.26431912183761597,0.0008217126596719027,0.34649038314819336
18.541666666665936,7.585617991127665,7.544810389427533,-0.004777555390811416,-0.002435437387045532,-0.010980546986604682,-0.005544841580636345,0.0,0.0,6.0,0.025075136757721137,-0.011556944104516782,5.9924026552143745,0.08107714354991913,0.0018259042408317327,0.2636675536632538
18.5833333333326,7.585617991127665,7.545078072655236,-0.004777555390811416,-0.0024489491673568226,-0.010980546986604682,-0.0055486851172380745,0.0,0.0,6.0,0.024903309796469743,-0.011316347807890686,5.993369348677386,0.09085172414779663,0.0005412240861915052,0.14497412741184235
18.624999999999265,7.585617991127665,7.545821476880222,-0.004777555390811416,-0.0024345696910639232,-0.010980546986604682,-0.00554618078796535,0.0,0.0,6.0,0.02473401659554675,-0.01108627095550052,5.994326064392991,0.07845987379550934,0.0006886266055516899,0.14732253551483154
18.66666666666593,7.585617991127665,7.546513355982148,-0.004777555390811416,-0.0024309930963551385,-0.010980546986604682,-0.0055545707405275264,0.0,0.0,6.0,0.024567216233853335,-0.010867047781895024,5.995272633598332,0.015014920383691788,0.0011487718438729644,0.12989211082458496
18.708333333332593,7.585617991127665,7.546926878831379,-0.004777555390811416,-0.0024213861830274567,-0.010980546986604682,-0.005556334031714024,0.0,0.0,6.0,0.0244028679729656,-0.010658897320065383,5.996208892827552,0.02700084261596203,0.002833201549947262,0.31032100319862366
18.749999999999257,7.585617991127665,7.547480609995813,-0.004777555390811416,-0.0024197473856725103,-0.010980546986604682,-0.00555387260479409,0.0,0.0,6.0,0.024240930656629793,-0.010461928179314144,5.997134686838114,0.03228916600346565,0.0002620077575556934,0.05848994106054306
18.791666666665922,7.585617991127665,7.548064115301748,-0.004777555390811416,-0.0024163077624760635,-0.010980546986604682,-0.005553305413140145,0.0,0.0,6.0,0.024081361778591527,-0.010276150144532002,5.998049864340492,0.04117292910814285,0.0017922872211784124,0.22040164470672607
18.833333333332586,7.585617991127665,7.5484099874410475,-0.004777555390811416,-0.0024079616846613985,-0.010980546986604682,-0.005551383166105335,0.0,0.0,6.0,0.02392410903081618,-0.010101481679608644,5.9989542781853284,0.01664714328944683,0.0004482512886170298,0.061472270637750626
18.87499999999925,7.585617991127665,7.548632317831704,-0.004777555390811416,-0.0024607928843728443,-0.010980546986604682,-0.005547640987407887,0.0,0.0,6.0,0.023769098939399713,-0.009937756524666757,5.999847784599835,0.11676895618438721,0.022800378501415253,2.3968067169189453
18.916666666665915,7.585617991127665,7.548876358847795,-0.004777555390811416,-0.0024106255461427296,-0.010980546986604682,-0.005530018818045889,0.0,0.0,6.0,0.023616234847220474,-0.009784734172964195,6.000730237450552,0.1034972071647644,0.0007939527276903391,0.18289248645305634
